State,County,BlackPerc
ND,Adams County,0.8
KY,Pike County,0.8
IN,White County,0.8
WV,Morgan County,0.8
PA,Perry County,0.8
NE,Washington County,0.8
OR,Polk County,0.8
PA,Juniata County,0.8
IL,De Witt County,0.8
KS,Coffey County,0.8
AR,Sharp County,0.8
PA,Mifflin County,0.8
ND,Richland County,0.8
WI,Portage County,0.8
SD,Sully County,0.8
WI,Sauk County,0.8
SD,Codington County,0.8
ID,Minidoka County,0.8
IA,Howard County,0.8
TN,Overton County,0.7
UT,Grand County,0.7
CO,Cheyenne County,0.7
AR,Scott County,0.7
VT,Grand Isle County,0.7
AK,Haines Borough,0.7
UT,Utah County,0.7
ME,Washington County,0.7
MN,Red Lake County,0.7
TN,Van Buren County,0.7
SD,Spink County,0.7
UT,Summit County,0.7
IN,Union County,0.7
CO,Rio Grande County,0.7
MO,Ripley County,0.7
CO,San Miguel County,0.7
MO,Shelby County,0.7
PA,Bedford County,0.7
KY,Russell County,0.7
ID,Bonneville County,0.7
KS,Stafford County,0.7
TX,Webb County,0.7
ND,Renville County,0.7
IA,Appanoose County,0.7
IA,Warren County,0.7
CO,Teller County,0.7
MO,Saint Clair County,0.7
WA,Skamania County,0.7
WI,Saint Croix County,0.7
ND,Sargent County,0.7
NE,Platte County,0.7
WI,Calumet County,0.7
OH,Jackson County,0.7
CO,Montrose County,0.7
WY,Hot Springs County,0.7
CO,Lake County,0.7
MI,Clare County,0.7
CO,Conejos County,0.7
KS,Ness County,0.7
OR,Lake County,0.7
WY,Platte County,0.7
VT,Orleans County,0.7
OR,Lincoln County,0.7
WA,Ferry County,0.7
IA,Clayton County,0.7
WI,Burnett County,0.7
NE,Clay County,0.7
KS,Clay County,0.7
WY,Weston County,0.7
NH,Coos County,0.7
UT,Iron County,0.7
KS,Gray County,0.7
WY,Fremont County,0.7
WA,Pend Oreille County,0.7
KY,Casey County,0.7
IA,Hancock County,0.7
OH,Hocking County,0.7
MN,Koochiching County,0.7
IA,Fremont County,0.7
ME,Hancock County,0.7
NE,Greeley County,0.7
TN,Cumberland County,0.7
IN,Dearborn County,0.7
MN,Chippewa County,0.7
WI,Langlade County,0.7
MN,McLeod County,0.7
ME,Kennebec County,0.7
WV,Wyoming County,0.7
OR,Linn County,0.7
NE,Webster County,0.7
NM,Harding County,0.7
NE,Box Butte County,0.7
NC,Mitchell County,0.7
IN,Newton County,0.7
ME,Knox County,0.7
SD,Butte County,0.7
IL,Hardin County,0.7
ND,Bottineau County,0.7
IN,Randolph County,0.7
OK,Haskell County,0.7
WI,Wood County,0.7
WV,Marshall County,0.7
AK,Nome Census Area,0.7
TX,Hemphill County,0.7
KY,Carter County,0.7
OH,Henry County,0.7
CO,Kiowa County,0.7
MT,Golden Valley County,0.7
IA,Humboldt County,0.7
IL,Woodford County,0.7
KS,Clark County,0.7
NE,Gosper County,0.7
WI,Dunn County,0.7
IL,Jersey County,0.7
OK,Coal County,0.7
KY,Nicholas County,0.7
ND,Divide County,0.7
KS,Nemaha County,0.7
IA,Iowa County,0.7
IA,Wayne County,0.7
SD,Hutchinson County,0.7
MI,Hillsdale County,0.7
KY,Butler County,0.7
MO,Wayne County,0.7
NM,Los Alamos County,0.7
TN,Grainger County,0.7
MO,Wright County,0.7
AK,Dillingham Census Area,0.7
ID,Twin Falls County,0.7
KS,Republic County,0.7
NH,Sullivan County,0.7
MI,Emmet County,0.7
OK,Ellis County,0.7
TN,Polk County,0.7
HI,Kauai County,0.7
WI,Door County,0.7
KY,Bracken County,0.7
NE,Fillmore County,0.7
KS,Trego County,0.7
TN,Sequatchie County,0.7
SD,Custer County,0.7
ME,York County,0.7
IA,Clay County,0.7
MN,Dodge County,0.7
VT,Franklin County,0.7
ID,Madison County,0.7
CO,Delta County,0.7
OH,Fulton County,0.7
MI,Shiawassee County,0.7
MT,Missoula County,0.6
AR,Montgomery County,0.6
IA,Mitchell County,0.6
WI,Sawyer County,0.6
IA,Monroe County,0.6
IN,Harrison County,0.6
NM,Catron County,0.6
KS,Barber County,0.6
WI,Green County,0.6
IN,Clinton County,0.6
IL,Hamilton County,0.6
SD,Miner County,0.6
MO,Camden County,0.6
OK,Mayes County,0.6
MN,Jackson County,0.6
OH,Adams County,0.6
IA,Chickasaw County,0.6
MT,Custer County,0.6
IN,Brown County,0.6
TX,Maverick County,0.6
WI,Pierce County,0.6
MN,Becker County,0.6
IA,Kossuth County,0.6
MO,Perry County,0.6
MO,Daviess County,0.6
WI,Richland County,0.6
ID,Jerome County,0.6
WV,Braxton County,0.6
NE,Keith County,0.6
OH,Putnam County,0.6
AK,Yukon-Koyukuk Census Area,0.6
ND,Ransom County,0.6
MN,Cook County,0.6
NE,Gage County,0.6
KY,Livingston County,0.6
KS,Gove County,0.6
IN,Huntington County,0.6
VT,Orange County,0.6
MO,Gentry County,0.6
SD,Douglas County,0.6
MI,Cheboygan County,0.6
MI,Otsego County,0.6
WA,Asotin County,0.6
IA,Benton County,0.6
MI,Iosco County,0.6
WV,Lewis County,0.6
OR,Union County,0.6
WI,Rusk County,0.6
MT,McCone County,0.6
OR,Baker County,0.6
MI,Benzie County,0.6
SD,Harding County,0.6
MN,Martin County,0.6
IA,Tama County,0.6
IL,Wayne County,0.6
KY,Clinton County,0.6
OR,Josephine County,0.6
AR,Clay County,0.6
MI,Kalkaska County,0.6
MN,Kanabec County,0.6
IL,Jo Daviess County,0.6
WA,Klickitat County,0.6
IN,Clay County,0.6
WI,Bayfield County,0.6
IL,Stark County,0.6
CO,La Plata County,0.6
SD,Jackson County,0.6
PA,Susquehanna County,0.6
IL,Douglas County,0.6
IA,Jackson County,0.6
MN,Le Sueur County,0.6
NE,Thurston County,0.6
KY,Letcher County,0.6
WV,Boone County,0.6
MI,Livingston County,0.6
MN,Houston County,0.6
AK,Hoonah-Angoon Census Area,0.6
MN,Sibley County,0.6
OR,Hood River County,0.6
OR,Sherman County,0.6
UT,Duchesne County,0.6
MT,Hill County,0.6
ND,Hettinger County,0.6
ID,Cassia County,0.6
OR,Columbia County,0.6
WA,Columbia County,0.6
ND,Burke County,0.6
WI,Pepin County,0.6
CO,Routt County,0.6
KY,Pendleton County,0.6
AR,Fulton County,0.6
CO,Park County,0.6
MI,Wexford County,0.6
VT,Rutland County,0.6
SD,Buffalo County,0.6
NE,Otoe County,0.6
MN,Crow Wing County,0.6
MI,Roscommon County,0.6
TX,Gillespie County,0.6
IN,Blackford County,0.6
IL,White County,0.6
ND,Dunn County,0.6
UT,Uintah County,0.6
ND,Billings County,0.6
CA,Nevada County,0.6
ND,Nelson County,0.6
MT,Musselshell County,0.6
OH,Darke County,0.6
IL,Edwards County,0.6
TX,Borden County,0.6
PA,Bradford County,0.6
IL,Richland County,0.6
MI,Presque Isle County,0.6
OH,Preble County,0.6
MO,Dent County,0.6
KS,Washington County,0.6
MN,Wabasha County,0.6
IN,Wells County,0.6
KS,Anderson County,0.6
SD,Day County,0.6
OH,Vinton County,0.6
SD,Roberts County,0.6
ME,Piscataquis County,0.6
IN,Pike County,0.6
ND,Pierce County,0.6
IL,Piatt County,0.6
OK,Roger Mills County,0.6
KS,Rooks County,0.6
IA,Greene County,0.6
IA,Mills County,0.6
MO,Miller County,0.6
IN,Carroll County,0.6
TN,Grundy County,0.6
OR,Coos County,0.6
OR,Wasco County,0.6
KS,Scott County,0.6
OH,Carroll County,0.6
NE,Dixon County,0.6
WI,Green Lake County,0.6
IL,Mercer County,0.6
WA,San Juan County,0.6
MN,Meeker County,0.6
KS,Morris County,0.6
MI,Menominee County,0.6
OH,Morrow County,0.6
MN,Mille Lacs County,0.5
SD,Lyman County,0.5
AR,Cleburne County,0.5
NE,Jefferson County,0.5
WI,Trempealeau County,0.5
ID,Lemhi County,0.5
MO,Stone County,0.5
IL,Clark County,0.5
MN,Faribault County,0.5
CO,Montezuma County,0.5
OR,Harney County,0.5
MI,Barry County,0.5
KS,Osage County,0.5
MI,Huron County,0.5
UT,Box Elder County,0.5
ID,Gooding County,0.5
MN,Todd County,0.5
MT,Fergus County,0.5
IL,Edgar County,0.5
SD,Walworth County,0.5
KS,Harper County,0.5
KS,Hamilton County,0.5
PA,Jefferson County,0.5
SD,Hamlin County,0.5
IL,Effingham County,0.5
MN,Douglas County,0.5
UT,Emery County,0.5
KY,Johnson County,0.5
OR,Wallowa County,0.5
IN,Tipton County,0.5
MT,Dawson County,0.5
CO,Archuleta County,0.5
OK,Adair County,0.5
ME,Waldo County,0.5
PA,Elk County,0.5
SD,Turner County,0.5
WI,Iowa County,0.5
IN,DeKalb County,0.5
UT,Garfield County,0.5
MO,Crawford County,0.5
MO,Barry County,0.5
SD,Aurora County,0.5
MI,Gladwin County,0.5
CO,Hinsdale County,0.5
IN,Crawford County,0.5
TN,Unicoi County,0.5
KS,Greeley County,0.5
MO,Howell County,0.5
CO,Grand County,0.5
IN,Dubois County,0.5
OH,Holmes County,0.5
MN,Grant County,0.5
OH,Auglaize County,0.5
AR,Van Buren County,0.5
ID,Clearwater County,0.5
WV,Jackson County,0.5
TN,Jackson County,0.5
IN,Decatur County,0.5
CO,Gunnison County,0.5
OR,Tillamook County,0.5
NE,Custer County,0.5
IL,Franklin County,0.5
MO,Dade County,0.5
MO,Harrison County,0.5
IA,Grundy County,0.5
KS,Woodson County,0.5
NE,Hayes County,0.5
KS,Greenwood County,0.5
WI,Ashland County,0.5
IL,Cumberland County,0.5
NE,Burt County,0.5
ID,Bingham County,0.5
MO,Caldwell County,0.5
NE,Cass County,0.5
ID,Nez Perce County,0.5
MN,Norman County,0.5
IN,Ohio County,0.5
WI,Marinette County,0.5
MO,Maries County,0.5
MN,Mahnomen County,0.5
WV,Wayne County,0.5
MT,Madison County,0.5
WI,Oneida County,0.5
IA,Shelby County,0.5
ND,Sheridan County,0.5
MO,Oregon County,0.5
MO,Madison County,0.5
IA,Madison County,0.5
MI,Dickinson County,0.5
WI,Buffalo County,0.5
IN,Owen County,0.5
IA,Cedar County,0.5
KY,Owsley County,0.5
MT,Silver Bow County,0.5
IA,Buchanan County,0.5
NE,Loup County,0.5
MI,Sanilac County,0.5
MI,Missaukee County,0.5
MT,Mineral County,0.5
NE,Saunders County,0.5
NH,Carroll County,0.5
CO,Moffat County,0.5
UT,Millard County,0.5
IL,Scott County,0.5
UT,Wasatch County,0.5
NE,Merrick County,0.5
IA,Monona County,0.5
OH,Monroe County,0.5
MT,Carbon County,0.5
WV,Wetzel County,0.5
TN,Campbell County,0.5
IN,Morgan County,0.5
MN,Morrison County,0.5
CO,Sedgwick County,0.5
IL,Moultrie County,0.5
ID,Camas County,0.5
NE,Seward County,0.5
PA,Warren County,0.5
IN,Whitley County,0.5
IL,Marshall County,0.5
WI,Washburn County,0.5
WI,Marquette County,0.5
MO,Knox County,0.5
AR,Polk County,0.5
OK,Delaware County,0.5
OK,Cimarron County,0.5
OR,Deschutes County,0.5
IN,LaGrange County,0.5
KS,Rawlins County,0.5
MN,Pope County,0.5
PA,Potter County,0.5
KY,Breathitt County,0.5
WI,Price County,0.5
MT,Richland County,0.5
MN,Lake County,0.5
ID,Boundary County,0.5
MN,Renville County,0.5
SD,Kingsbury County,0.5
TX,Kimble County,0.5
ND,Kidder County,0.5
WI,Kewaunee County,0.5
IA,Keokuk County,0.5
WA,Stevens County,0.5
ND,Ramsey County,0.5
MT,Ravalli County,0.5
WI,Clark County,0.5
MI,Leelanau County,0.5
KS,Lincoln County,0.5
OK,Dewey County,0.5
ID,Lincoln County,0.5
ME,Lincoln County,0.5
ME,Somerset County,0.5
NE,Phelps County,0.5
KS,Phillips County,0.5
OH,Perry County,0.5
MT,Lewis and Clark County,0.5
ND,Pembina County,0.5
MO,Benton County,0.5
KS,Smith County,0.5
MT,Broadwater County,0.5
ND,Slope County,0.5
KS,Wilson County,0.5
MO,Lawrence County,0.5
IA,Plymouth County,0.5
IN,Lawrence County,0.5
MI,Charlevoix County,0.5
IL,Clay County,0.5
MN,Traverse County,0.5
CA,Trinity County,0.5
ME,Franklin County,0.5
ID,Boise County,0.5
IL,Mason County,0.5
IA,Cass County,0.5
TX,Roberts County,0.5
MN,Murray County,0.4
IA,Audubon County,0.4
MT,Flathead County,0.4
WV,Ritchie County,0.4
ID,Payette County,0.4
UT,Juab County,0.4
ID,Washington County,0.4
CO,Mineral County,0.4
UT,Kane County,0.4
SD,McPherson County,0.4
MN,Kittson County,0.4
SD,Hyde County,0.4
NE,Sheridan County,0.4
ID,Teton County,0.4
MO,Bollinger County,0.4
NM,De Baca County,0.4
KY,Rockcastle County,0.4
NE,Pierce County,0.4
UT,Daggett County,0.4
NE,Cherry County,0.4
OR,Douglas County,0.4
KY,Lawrence County,0.4
SD,Bennett County,0.4
MT,Lincoln County,0.4
IA,Adams County,0.4
IN,Fountain County,0.4
ID,Lewis County,0.4
KY,Lewis County,0.4
MN,Brown County,0.4
IN,Franklin County,0.4
MT,Valley County,0.4
ID,Idaho County,0.4
OR,Curry County,0.4
CO,Yuma County,0.4
WA,Lincoln County,0.4
VT,Essex County,0.4
AR,Stone County,0.4
UT,Beaver County,0.4
AK,Prince of Wales-Hyder Census Area,0.4
MT,Beaverhead County,0.4
MO,Douglas County,0.4
ND,Walsh County,0.4
TX,Starr County,0.4
WA,Wahkiakum County,0.4
SD,Potter County,0.4
IA,Ringgold County,0.4
IN,Jay County,0.4
MN,Clearwater County,0.4
IN,Starke County,0.4
IN,Washington County,0.4
IN,Adams County,0.4
WI,Lafayette County,0.4
SD,Faulk County,0.4
MT,Lake County,0.4
WI,Vilas County,0.4
TN,Fentress County,0.4
ID,Benewah County,0.4
WI,Vernon County,0.4
ND,Mercer County,0.4
IL,Shelby County,0.4
IA,Harrison County,0.4
MT,Granite County,0.4
MT,Deer Lodge County,0.4
MO,Shannon County,0.4
TX,Zapata County,0.4
MN,Aitkin County,0.4
MN,Wilkin County,0.4
PA,Cameron County,0.4
OH,Wyandot County,0.4
MI,Montmorency County,0.4
SD,Dewey County,0.4
TN,Hancock County,0.4
OH,Mercer County,0.4
WV,Tucker County,0.4
IL,Monroe County,0.4
IL,Hancock County,0.4
SD,Gregory County,0.4
SD,Tripp County,0.4
NE,Hamilton County,0.4
MI,Alpena County,0.4
ND,Griggs County,0.4
AR,Marion County,0.4
MN,Roseau County,0.4
MT,Big Horn County,0.4
NE,Furnas County,0.4
MN,Hubbard County,0.4
MT,Gallatin County,0.4
SD,Charles Mix County,0.4
NE,Howard County,0.4
ME,Oxford County,0.4
WI,Taylor County,0.4
CA,Sierra County,0.4
WI,Waupaca County,0.4
AR,Madison County,0.4
MT,Sheridan County,0.4
NE,Dundy County,0.4
ND,Oliver County,0.4
IL,Henderson County,0.4
MI,Ogemaw County,0.4
NE,Butler County,0.4
NE,Thayer County,0.4
MN,Cass County,0.4
IA,Delaware County,0.4
IA,Dickinson County,0.4
VA,Dickenson County,0.4
ID,Kootenai County,0.4
NE,Pawnee County,0.4
MN,Marshall County,0.4
SD,McCook County,0.4
MO,Carter County,0.4
NE,McPherson County,0.4
IN,Scott County,0.4
IA,Montgomery County,0.4
UT,San Juan County,0.4
MN,Big Stone County,0.4
MT,Wheatland County,0.4
IA,Osceola County,0.4
IA,Adair County,0.4
KS,Rush County,0.4
SD,Brule County,0.4
ND,Rolette County,0.4
WV,Roane County,0.4
WI,Polk County,0.4
IN,Ripley County,0.4
AR,Boone County,0.4
WV,Webster County,0.4
NE,Boone County,0.4
WI,Shawano County,0.4
MI,Arenac County,0.4
MN,Fillmore County,0.4
IN,Vermillion County,0.4
WI,Florence County,0.4
MN,Yellow Medicine County,0.4
NE,Garden County,0.4
MO,Gasconade County,0.4
MO,Atchison County,0.4
NC,Graham County,0.4
MO,Hickory County,0.4
AK,Wrangell City and Borough,0.4
IA,Taylor County,0.4
IA,Ida County,0.4
MN,Itasca County,0.4
AR,Baxter County,0.4
ID,Jefferson County,0.4
MT,Jefferson County,0.4
NE,Cheyenne County,0.4
KY,Marshall County,0.4
ND,Wells County,0.3
MI,Alcona County,0.3
MI,Delta County,0.3
MO,Cedar County,0.3
WI,Iron County,0.3
UT,Sevier County,0.3
NE,Kearney County,0.3
MI,Schoolcraft County,0.3
MT,Liberty County,0.3
WV,Lincoln County,0.3
MT,Rosebud County,0.3
MT,Roosevelt County,0.3
IA,Lucas County,0.3
ID,Bonner County,0.3
MN,Lac qui Parle County,0.3
UT,Rich County,0.3
KY,Magoffin County,0.3
KS,Marshall County,0.3
ND,McIntosh County,0.3
NE,Morrill County,0.3
MI,Oscoda County,0.3
KS,Osborne County,0.3
MO,Osage County,0.3
MI,Ontonagon County,0.3
MI,Iron County,0.3
NE,Garfield County,0.3
MT,Daniels County,0.3
IA,Guthrie County,0.3
KS,Comanche County,0.3
KY,Estill County,0.3
UT,Morgan County,0.3
ND,Cavalier County,0.3
ND,Foster County,0.3
MO,Dallas County,0.3
ND,McHenry County,0.3
ND,McLean County,0.3
MT,Meagher County,0.3
NE,Antelope County,0.3
KS,Mitchell County,0.3
SD,Campbell County,0.3
IA,Lyon County,0.3
NE,Nance County,0.3
WV,Calhoun County,0.3
IL,Calhoun County,0.3
AR,Newton County,0.3
WV,Nicholas County,0.3
ND,Eddy County,0.3
CO,Dolores County,0.3
NE,Deuel County,0.3
WI,Oconto County,0.3
ID,Oneida County,0.3
SD,Ziebach County,0.3
KS,Kingman County,0.3
NE,Holt County,0.3
KY,Jackson County,0.3
IL,Jasper County,0.3
KS,Jewell County,0.3
SD,Jones County,0.3
MO,Holt County,0.3
NE,Hitchcock County,0.3
KY,Wolfe County,0.3
MO,Clark County,0.3
WV,Wirt County,0.3
NE,Kimball County,0.3
ID,Franklin County,0.3
ND,LaMoure County,0.3
SD,Mellette County,0.3
MN,Lake of the Woods County,0.3
KY,Leslie County,0.3
IN,Greene County,0.3
ND,Logan County,0.3
OR,Grant County,0.3
OR,Crook County,0.3
MT,Garfield County,0.3
NE,Cuming County,0.3
ID,Shoshone County,0.3
MO,Putnam County,0.3
ND,Bowman County,0.3
NE,Richardson County,0.3
KY,Robertson County,0.3
IA,Sac County,0.3
ID,Blaine County,0.3
MT,Sanders County,0.3
CA,Alpine County,0.3
TN,Scott County,0.3
IA,Butler County,0.3
AR,Searcy County,0.3
ND,Sioux County,0.3
AK,Skagway Municipality,0.3
MT,Stillwater County,0.3
ID,Bear Lake County,0.3
SD,Todd County,0.3
WV,Tyler County,0.3
TN,Union County,0.3
IA,Van Buren County,0.3
IN,Warren County,0.3
MI,Antrim County,0.3
MT,Park County,0.3
SD,Perkins County,0.3
MO,Ozark County,0.3
MT,Pondera County,0.3
MT,Prairie County,0.3
WV,Clay County,0.2
KS,Sheridan County,0.2
ND,Towner County,0.2
NE,Frontier County,0.2
ID,Adams County,0.2
MI,Keweenaw County,0.2
MO,Schuyler County,0.2
NE,Franklin County,0.2
UT,Piute County,0.2
CO,Ouray County,0.2
NE,Brown County,0.2
ND,Steele County,0.2
SD,Jerauld County,0.2
ID,Valley County,0.2
MN,Lincoln County,0.2
AK,Wade Hampton Census Area,0.2
NE,Arthur County,0.2
NE,Chase County,0.2
SD,Edmunds County,0.2
NE,Polk County,0.2
OK,Harper County,0.2
MT,Fallon County,0.2
IA,Davis County,0.2
SD,Corson County,0.2
ID,Gem County,0.2
VA,Craig County,0.2
NE,Sherman County,0.2
OR,Gilliam County,0.2
SD,Hanson County,0.2
NE,Grant County,0.2
NE,Sioux County,0.2
MT,Glacier County,0.2
TN,Pickett County,0.2
IN,Martin County,0.2
NE,Nuckolls County,0.2
NE,Valley County,0.2
NE,Blaine County,0.2
MT,Blaine County,0.2
ID,Butte County,0.2
MT,Chouteau County,0.2
MO,Mercer County,0.2
ID,Custer County,0.2
NE,Knox County,0.2
ID,Caribou County,0.2
SD,Shannon County,0.2
CO,Jackson County,0.1
MO,Scotland County,0.1
NE,Thomas County,0.1
MT,Treasure County,0.1
MT,Sweet Grass County,0.1
OR,Wheeler County,0.1
MT,Carter County,0.1
MT,Powder River County,0.1
ND,Benson County,0.1
NE,Cedar County,0.1
NE,Rock County,0.1
MT,Judith Basin County,0.1
NE,Logan County,0.1
MT,Phillips County,0.1
UT,Wayne County,0.1
KS,Cheyenne County,0.1
SD,Hand County,0.1
CO,San Juan County,0.1
SD,Sanborn County,0.1
NE,Boyd County,0.1
KS,Elk County,0.1
ND,Emmons County,0.1
MT,Wibaux County,0.1
NE,Harlan County,0.1
MT,Teton County,0.1
TX,King County,0
NE,Keya Paha County,0
AK,Bristol Bay Borough,0
HI,Kalawao County,0
TX,Loving County,0
WA,Garfield County,0
MT,Petroleum County,0
NE,Hooker County,0
ND,Grant County,0
NE,Wheeler County,0
