County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Lancaster County,128530,1,2,0,1,0
Lancaster County,18212,0,0,0,1,0
Lane County,68442,0,3,0,9,0
Langlade County,3863,0,0,0,1,0
Laramie County,22651,0,0,1,1,0
Larimer County,66445,0,1,0,6,1
Las Animas County,2670,1,1,0,0,0
Latimer County,2417,0,0,0,0,0
Lauderdale County,19085,0,0,0,1,0
Lauderdale County,19137,0,0,0,3,0
Laurel County,14164,0,0,0,3,0
Lawrence County,7265,0,0,0,1,0
Lawrence County,10192,0,0,0,1,0
Lawrence County,9696,0,0,0,1,0
Lawrence County,18198,0,1,0,1,0
Lawrence County,4512,0,0,0,1,0
Lawrence County,10526,0,0,0,1,0
Le Flore County,11943,0,0,0,2,0
Lea County,21280,0,3,0,3,0
Leavenworth County,19148,1,0,0,0,0
Lebanon County,31226,0,0,0,2,0
Lee County,33319,1,0,0,0,0
Lee County,127069,2,1,0,4,0
Lee County,7823,0,0,0,0,0
Lee County,7622,1,0,0,1,0
Lee County,21993,2,0,0,0,0
Lee County,15094,0,1,0,0,0
Lee County,3784,1,0,0,0,0
Lehigh County,81584,0,0,0,3,0
Lenoir County,13393,1,0,0,0,0
Leon County,54242,4,0,0,3,0
Leon County,3760,0,0,0,1,0
Lewis and Clark County,14357,0,0,0,1,0
Lewis County,2643,0,0,0,1,0
Lewis County,16453,0,1,0,0,0
Lexington County,65859,1,0,0,8,0
Lexington County,899,0,0,0,0,0
Limestone County,21244,0,0,0,1,0
Lincoln Parish County,9666,0,0,0,1,0
Lincoln County,6014,0,0,0,2,0
Lincoln County,8589,0,0,0,2,0
Lincoln County,17483,0,0,0,2,0
Lincoln County,3665,0,1,0,3,0
Lincoln County,8516,0,0,0,1,0
Lincoln County,5813,0,0,0,1,0
Linn County,51825,2,0,0,1,0
Litchfield County,35889,0,1,0,1,0
Livingston Parish County,35703,0,0,0,3,0
Livingston County,3176,0,0,0,2,0
Livingston County,12078,0,0,0,1,0
Llano County,3024,0,0,0,2,0
Logan County,4235,0,1,0,0,0
Logan County,5652,1,0,0,0,0
Logan County,6502,0,0,0,2,0
Logan County,10730,0,0,0,3,0
Long County,4929,1,0,0,0,0
Lonoke County,18891,0,0,0,5,0
Lorain County,69361,1,0,0,0,0
Los Angeles County,2306609,56,123,0,39,12
Loudon County,10053,0,0,0,3,1
Loudoun County,106737,0,0,0,1,0
Lowndes County,28154,1,1,0,2,0
Lowndes County,14395,2,0,0,2,0
Lubbock County,71142,1,2,0,0,0
Lucas County,100986,4,1,0,4,0
Lumpkin County,5892,0,0,0,1,0
Luna County,6390,0,5,0,0,0
Luzerne County,62490,0,0,0,2,0
Lycoming County,24234,0,0,0,1,0
Lynchburg County,15809,0,0,0,1,0
Lynn County,1575,0,1,0,0,0
Lyon County,11601,0,0,0,1,0
Mackinac County,1855,0,0,0,1,0
Macomb County,188365,2,0,0,1,1
Macon County,3555,0,0,0,1,0
Macon County,6402,0,0,0,2,0
Macoupin County,9987,0,0,0,1,0
Madera County,42655,0,2,0,2,0
Madison County,78467,4,1,0,7,0
Madison County,10270,0,0,0,2,0
Madison County,59176,0,1,0,1,0
Madison County,28745,0,0,0,1,0
Madison County,18429,0,0,0,2,0
Madison County,26032,0,0,0,1,0
Madison County,22581,0,0,0,0,0
Magoffin County,2957,0,0,0,1,0
Mahoning County,47807,0,0,0,1,0
Malheur County,7650,0,1,0,1,0
Manatee County,68590,3,0,0,2,0
Manistee County,4347,0,0,0,1,0
Manitowoc County,16994,0,0,0,2,0
Marathon County,31773,0,0,0,3,1
Marengo County,4625,0,0,0,1,0
Maricopa County,1025885,19,64,5,66,0
Marin County,53454,0,1,0,1,0
Marinette County,8094,0,0,0,3,0
Marion County,6417,0,0,0,0,0
Marion County,2831,0,0,0,2,0
Marion County,63763,0,1,0,4,0
Marion County,232627,14,0,0,6,0
Marion County,2637,0,0,0,1,0
Marion County,82832,0,2,0,6,0
Marion County,6051,0,0,0,1,0
Marion County,11304,0,0,0,2,0
Marshall County,23186,0,0,0,2,0
Marshall County,7442,0,0,0,1,0
Martin County,25770,1,0,0,1,0
Martin County,2583,0,0,0,1,0
Martin County,4368,0,0,0,1,0
Martinsville County,3195,1,0,0,0,0
Mason County,11717,0,0,0,2,1
Massac County,3264,0,0,0,2,0
Matagorda County,9312,1,0,0,0,0
Matanuska-Susitna Borough County,26722,2,0,1,7,0
Maui County,36353,0,0,0,0,0
Maury County,20182,0,0,0,2,0
Mayes County,9918,0,0,0,1,0
McClain County,9627,0,0,0,1,0
McCracken County,14304,0,0,0,2,0
McCurtain County,8494,1,1,0,0,0
McDowell County,9308,0,0,0,1,0
McDowell County,4212,0,0,0,0,1
McHenry County,76821,0,0,0,1,0
McIntosh County,2701,0,0,0,1,0
McIntosh County,4058,1,0,0,0,0
McKinley County,22748,0,0,1,0,0
McLennan County,60373,2,0,0,3,0
McLeod County,8540,0,0,0,1,0
McMinn County,11420,0,0,0,1,0
McNairy County,5963,1,0,0,0,0
McPherson County,6784,0,0,0,1,0
Mecklenburg County,249085,10,2,0,6,1
Mecklenburg County,5958,0,0,0,1,0
Medina County,41367,0,0,0,2,0
Mendocino County,19243,0,0,0,1,0
Merced County,79906,0,6,0,1,0
Mercer County,81367,2,0,0,2,0
Mercer County,10371,0,0,0,1,0
Mercer County,23321,0,0,0,1,0
Mercer County,12975,1,0,0,3,0
Meriwether County,4748,0,0,0,1,0
Mesa County,33209,0,1,0,7,0
Metcalfe County,2358,0,0,0,1,0
Miami-Dade County,548552,21,13,0,7,0
Middlesex County,31999,0,0,0,1,0
Middlesex County,323485,0,2,0,5,0
Middlesex County,183985,1,0,0,2,0
Midland County,18271,0,0,0,1,0
Midland County,43009,0,1,1,3,0
Mifflin County,10521,0,0,0,1,0
Mille Lacs County,6290,0,0,1,0,0
Milwaukee County,233363,13,2,0,6,0
Mineral County,779,0,0,0,1,0
Mineral County,5516,0,0,0,1,0
Minnehaha County,45903,0,0,0,1,0
Mississippi County,11811,2,0,0,2,0
Missoula County,21861,0,0,0,4,0
Mitchell County,2848,0,0,0,1,0
Mobile County,99630,3,0,0,8,0
Moffat County,3348,0,0,0,1,0
Mohave County,38029,0,2,0,9,0
Monmouth County,140329,1,0,0,3,0
Monongalia County,16554,1,0,0,4,0
Monroe County,5136,1,0,0,0,0
Monroe County,7689,0,0,0,1,0
Monroe County,23078,0,0,0,1,0
Monroe County,8281,0,0,0,2,0
Monroe County,161219,2,0,0,3,0
Monroe County,35425,0,0,0,1,0
Monroe County,11481,0,0,1,0,0
Montague County,4466,0,0,0,2,0
Montcalm County,14402,0,0,0,1,0
Monterey County,113875,0,3,0,4,0
Montezuma County,5850,0,0,1,0,0
Montgomery County,54285,2,0,0,1,0
Montgomery County,1744,0,0,0,0,0
Montgomery County,6019,0,0,0,1,0
Montgomery County,8888,0,0,0,1,0
Montgomery County,242155,5,1,0,3,0
Montgomery County,119951,9,0,0,7,0
Montgomery County,179709,2,0,0,1,0
Montgomery County,51669,1,0,0,3,0
Montgomery County,139078,1,0,0,5,0
Montgomery County,15559,0,0,0,1,0
Montrose County,9196,0,0,0,0,0
Moore County,19732,0,0,0,2,0
Moore County,6932,0,0,0,1,0
Morehouse Parish County,6503,1,0,0,0,0
Morgan County,7479,0,0,0,1,0
Morton County,6949,0,0,1,0,0
Mower County,9831,0,0,0,1,0
Muhlenberg County,6522,0,0,0,2,0
Multnomah County,153789,4,0,0,15,0
Muscogee County,48816,1,0,0,1,0
Muskingum County,19996,0,0,0,1,0
Muskogee County,17142,2,0,0,2,0
Nacogdoches County,15346,0,0,0,2,0
Napa County,30883,0,3,0,3,0
Nash County,21608,0,1,0,0,0
Nassau County,15630,1,0,0,5,0
Nassau County,300257,1,1,0,1,0
Natrona County,19508,0,0,0,5,0
Navajo County,30268,0,0,2,2,0
Nelson County,11203,0,0,0,1,0
Neshoba County,8280,0,0,0,1,0
Nevada County,17603,0,0,0,2,0
New Castle County,122717,5,0,0,2,0
New Hanover County,41962,0,0,0,3,0
New Haven County,181729,1,1,0,1,0
New London County,55556,1,0,0,2,0
New York County,240531,20,6,0,1,0
Newberry County,8312,0,0,0,1,0
Newport News County,42997,3,0,0,1,0
Newport County,15236,0,1,0,0,0
Newton County,28096,2,0,0,1,0
Newton County,14298,0,0,0,1,0
Nicholas County,5372,0,0,0,1,0
Noble County,2782,0,0,0,1,0
Nolan County,3894,0,0,0,2,0
Norfolk County,149527,0,0,0,3,0
Norfolk County,49822,4,0,0,3,0
North Slope Borough County,2503,0,0,1,0,0
Northampton County,62235,0,0,0,1,0
Nueces County,90124,1,6,0,1,0
Nye County,7611,1,0,0,3,0
Oakland County,273569,3,0,0,6,0
Ocean County,137781,1,0,0,3,1
Oconee County,15339,0,0,0,1,0
Oconto County,7745,0,0,0,1,0
Okaloosa County,43626,0,1,0,3,0
Okanogan County,9662,0,0,0,1,0
Okfuskee County,2864,0,0,0,1,0
Oklahoma County,196151,18,5,2,16,1
Okmulgee County,9305,1,0,0,4,0
Oldham County,16634,1,0,0,0,0
Oneida County,49602,0,0,0,1,0
Onondaga County,102535,5,0,0,1,0
Onslow County,47648,0,0,0,1,0
Ontario County,22819,1,0,0,0,0
Orange County,723468,4,23,0,9,2
Orange County,284431,10,6,0,7,0
Orange County,4592,0,1,0,0,0
Orange County,28646,1,0,0,0,0
Orange County,97786,2,0,0,3,0
Orange County,5685,0,0,0,1,0
Orangeburg County,20360,1,0,0,0,0
Orleans Parish County,78401,8,0,0,1,0
Orleans County,8481,0,0,0,1,0
Osage County,10940,0,0,0,1,0
Osceola County,77863,1,0,0,0,0
Osceola County,5445,0,0,0,1,0
Oswego County,26117,0,0,0,1,0
Otero County,15750,0,2,0,0,0
Otsego County,10208,0,0,0,0,0
Ottawa County,68797,0,0,0,1,0
Ottawa County,7994,0,0,0,2,0
Ouachita Parish County,39863,4,0,0,0,0
Outagamie County,43863,2,1,0,1,0
Overton County,4912,0,0,0,1,0
Owen County,4571,0,0,0,1,0
Owsley County,947,0,0,0,1,0
Owyhee County,3020,0,1,0,0,0
Oxford County,11219,0,0,0,1,0
Page County,4841,0,0,0,0,0
Palm Beach County,272553,3,3,0,7,0
Panola County,5752,1,0,0,0,0
Park County,2730,0,0,0,2,0
Park County,3033,0,0,0,1,0
Parker County,30052,1,0,0,4,0
Pasco County,99493,0,0,0,6,0
Passaic County,124161,3,1,0,1,0
Paulding County,41418,0,0,0,2,0
Payne County,15571,0,0,0,3,0
Peach County,6004,0,0,0,3,0
Pearl River County,12867,0,0,0,1,0
Pecos County,3894,0,1,0,0,0
Pemiscot County,4748,0,0,0,0,0
Pendleton County,1312,0,0,0,1,0
Pennington County,25978,0,0,1,7,0
Penobscot County,28688,0,0,0,4,0
Peoria County,44582,2,1,0,0,0
Perry County,2264,0,0,0,1,0
Perry County,5933,0,0,0,2,0
Perry County,8667,0,0,0,1,0
Pershing County,1239,0,0,0,1,0
Person County,8531,1,0,0,1,0
Pettis County,10598,0,0,0,3,0
Philadelphia County,346386,18,1,0,2,0
Phillips County,5421,2,0,0,0,0
Phillips County,1047,0,0,0,0,0
Phillips County,947,0,0,0,1,0
Pickaway County,12570,0,0,0,2,0
Pickens County,4175,1,0,0,0,0
Pickens County,6269,1,0,0,1,0
Pickens County,23712,0,0,0,1,0
Pierce County,199663,5,3,2,12,0
Pike County,4428,0,0,0,0,0
Pike County,13237,0,0,0,2,0
Pike County,6753,0,0,0,3,0
Pima County,219989,2,17,0,12,0
Pinal County,98068,1,2,0,6,0
Pine County,5994,0,0,0,1,0
Pinellas County,160415,8,0,0,9,0
Pitt County,38403,4,0,0,1,0
Pittsburg County,9907,2,0,0,2,0
Placer County,85118,1,1,0,5,0
Plymouth County,114080,0,1,0,2,0
Pocahontas County,1507,0,0,0,1,0
Poinsett County,5746,0,0,0,1,0
Polk County,4733,0,0,0,1,0
Polk County,144697,2,6,0,12,0
Polk County,10695,0,0,0,1,0
Polk County,115885,2,0,0,8,0
Polk County,18154,0,1,0,0,0
Polk County,9446,0,0,0,1,0
Polk County,9469,0,0,0,1,0
Pontotoc County,8233,0,0,0,1,0
Pontotoc County,9045,0,0,0,5,0
Pope County,14410,0,0,0,5,0
Portage County,31243,1,0,0,1,0
Porter County,38093,1,0,0,1,0
Portsmouth County,22465,3,0,0,0,0
Pottawatomie County,6709,0,0,0,1,0
Pottawatomie County,17450,0,0,0,3,0
Pottawattamie County,22071,0,0,0,1,0
Potter County,33569,0,5,0,3,0
Powhatan County,5462,0,0,0,1,0
Pratt County,2403,0,1,0,0,0
Prince Edward County,3807,1,0,0,0,0
Prince George's County,205306,13,1,0,0,0
Prince William County,125352,1,1,0,1,0
Providence County,133347,2,0,0,1,0
Pueblo County,37555,1,12,1,6,0
Pulaski County,93070,7,0,0,7,0
Pulaski County,6315,0,0,0,2,0
Putnam County,15583,4,0,0,0,0
Putnam County,13000,1,0,0,1,0
Quay County,1802,0,0,0,1,0
Queens County,473602,2,0,0,2,0
Rabun County,2972,1,0,0,0,0
Racine County,46644,2,0,0,1,0
Raleigh County,16587,1,0,0,0,0
Ramsey County,124641,5,0,1,4,1
Ramsey County,2590,0,0,1,0,0
Randolph County,1506,1,0,0,0,0
Randolph County,5991,0,0,0,1,0
Randolph County,5541,0,0,0,0,0
Randolph County,33696,1,1,0,4,0
Randolph County,5650,0,0,0,1,0
Rankin County,35981,0,0,0,1,0
Rapides Parish County,33387,3,0,0,2,0
Real County,583,0,0,0,1,0
Red River Parish County,2141,1,0,0,1,0
Red River County,2514,1,0,0,0,0
Refugio County,1687,1,0,0,0,0
Reno County,14800,0,0,0,2,0
Rensselaer County,32274,2,0,0,0,0
Richland County,26583,1,0,0,2,0
Richland County,88345,1,0,0,0,0
Richmond County,47724,2,0,0,2,0
Richmond County,105068,1,0,0,0,0
Richmond County,41607,5,0,0,3,0
Riley County,13234,0,0,0,1,0
Ripley County,6925,0,0,0,1,0
Ritchie County,2032,0,0,0,1,0
Riverside County,612598,6,23,0,14,0
Roane County,10444,0,0,0,0,0
Roane County,3211,0,0,0,1,0
Roanoke County,41481,2,0,0,2,0
Robeson County,34903,1,0,0,2,0
Rock Island County,32280,3,0,0,0,0
Rock County,38524,1,0,0,0,0
Rockcastle County,3702,0,0,0,1,0
Rockdale County,22465,0,0,0,1,0
Rockingham County,19256,0,0,0,1,0
Rockingham County,61928,0,0,0,4,0
Rockingham County,17510,0,0,0,2,0
Rockland County,89711,0,0,0,1,0
Rockwall County,24323,0,1,0,0,0
Rogers County,22005,0,1,0,2,1
Rolette County,4940,0,0,1,0,0
Rowan County,4565,0,0,0,1,0
Rowan County,31608,2,0,0,0,0
Runnels County,2500,0,0,0,0,0
Rusk County,12510,0,0,0,0,0
Rusk County,3024,0,0,0,1,0
Russell County,15081,1,0,0,2,0
Rutherford County,14252,0,0,0,2,0
Rutherford County,72227,1,0,0,1,0
Rutland County,11056,0,0,0,2,0
Sabine Parish County,5905,1,0,0,0,0
Sacramento County,361614,15,6,1,11,0
Saginaw County,42903,0,0,0,2,0
Saint Charles County,92217,0,0,0,1,0
Saint Clair County,19940,1,0,0,3,0
Saint Clair County,64041,3,0,0,1,0
Saint Clair County,35217,0,0,0,1,0
Saint Francis County,6052,2,0,0,1,0
Saint Francois County,14115,0,0,0,1,0
Saint Johns County,47942,0,0,0,5,0
Saint Joseph County,64228,2,1,0,1,0
Saint Joseph County,15237,0,0,0,0,0
Saint Lawrence County,23060,0,0,0,0,1
Saint Louis County,38783,0,0,0,5,0
Saint Louis County,223418,29,0,0,10,0
Saint Lucie County,60534,6,2,0,1,0
Saint Mary's County,27485,0,0,0,2,0
Saline County,27541,0,0,0,3,0
Saline County,13493,0,0,0,3,0
Salt Lake County,308963,6,6,0,24,0
Sampson County,15820,0,0,0,3,0
San Bernardino County,574632,10,24,0,26,2
San Diego County,727745,5,18,0,14,3
San Francisco County,114231,4,6,0,5,1
San Joaquin County,198936,5,3,0,4,3
San Juan County,33793,0,2,1,2,0
San Juan County,4911,0,0,1,0,0
San Luis Obispo County,50514,0,1,0,4,0
San Mateo County,163095,0,2,0,3,0
San Miguel County,5620,0,1,0,0,0
San Patricio County,18268,0,1,0,0,0
Sanders County,2068,0,0,0,0,0
Sandoval County,33852,0,2,0,0,0
Sangamon County,45769,0,0,0,1,0
Santa Barbara County,98710,0,7,0,2,0
Santa Clara County,437654,4,13,0,7,2
Santa Cruz County,13215,0,2,0,0,0
Santa Cruz County,54633,0,0,0,2,1
Santa Fe County,28892,0,3,0,1,0
Santa Rosa County,36933,0,0,0,2,0
Sarasota County,59544,1,1,0,5,0
Schenectady County,34573,0,0,0,4,0
Scott County,41304,0,0,0,4,0
Scott County,13231,1,1,0,3,0
Scott County,40226,0,0,0,1,0
Scott County,5387,0,0,0,1,0
Scott County,4231,0,0,0,2,0
Screven County,3197,1,0,0,0,0
Scurry County,4419,0,0,0,2,0
Searcy County,1610,0,0,0,1,0
Sebastian County,31060,1,0,0,1,0
Sedgwick County,134833,0,3,0,10,0
Seminole County,94698,0,0,0,3,0
Seminole County,6482,0,0,0,1,0
Seneca County,12414,0,0,0,1,0
Sequoyah County,9967,0,0,1,3,0
Sevier County,20068,0,0,0,3,0
Shasta County,38838,0,1,1,14,2
Shawnee County,43353,1,1,1,2,0
Sheboygan County,26286,1,0,0,1,0
Shelby County,50424,0,0,0,2,0
Shelby County,10298,0,0,0,2,0
Shelby County,10815,0,0,0,1,0
Shelby County,239395,14,1,0,5,0
Shelby County,6736,0,0,0,1,0
Sheridan County,1189,0,0,1,0,0
Sherman County,857,1,0,0,0,0
Sierra County,1721,0,1,0,0,0
Silver Bow County,7109,0,0,0,1,0
Simpson County,6948,0,0,0,1,0
Siskiyou County,8856,0,0,0,4,0
Smith County,4448,0,0,0,2,0
Smith County,54492,0,1,0,0,0
Snohomish County,176223,0,1,1,6,0
Socorro County,4051,0,1,0,0,0
Solano County,98729,4,4,0,2,0
Somerset County,10130,0,0,0,1,0
Somerset County,13948,0,0,0,1,0
Sonoma County,103060,0,2,0,1,0
Spalding County,15677,0,0,0,1,0
Spartanburg County,69569,3,0,0,5,0
Spokane County,108972,1,0,1,14,1
Spotsylvania County,33072,1,0,0,0,0
Stafford County,37518,0,0,0,1,0
Stanislaus County,145235,2,8,0,6,1
Stark County,7380,0,0,1,0,0
Stark County,82286,0,0,0,3,0
Starke County,5353,0,0,0,0,0
Starr County,20775,1,1,0,0,0
Stearns County,34711,0,0,0,1,0
Stevens County,2048,0,0,0,1,0
Stevens County,9647,0,0,0,1,0
Stewart County,885,0,0,0,1,0
Stillwater County,2007,0,0,0,1,0
Stokes County,9284,0,0,0,1,0
Stone County,2511,0,0,0,0,0
Stone County,5474,0,0,0,1,0
Stone County,4004,0,0,0,1,0
Strafford County,24493,0,0,0,1,0
Stutsman County,4310,0,0,0,1,0
Suffolk County,132735,6,2,0,0,0
Suffolk County,333659,2,0,0,4,0
Suffolk County,21615,0,0,0,1,0
Sullivan County,4273,0,0,0,1,0
Sullivan County,8491,0,0,0,1,0
Sullivan County,780,0,0,0,1,0
Sullivan County,31252,0,0,0,5,0
Summit County,117602,2,0,0,5,1
Sumner County,41968,1,0,0,1,0
Sumter County,8462,0,1,0,2,0
Sumter County,26548,1,0,0,1,0
Sussex County,41116,1,1,0,1,0
Sussex County,1883,1,0,0,0,0
Sutter County,25304,0,1,0,0,1
Talladega County,18135,1,0,0,2,0
Tallapoosa County,8686,0,0,0,1,0
Tangipahoa Parish County,31508,0,0,0,3,0
Taos County,6319,0,3,0,0,0
Tarrant County,527193,12,9,0,13,1
Tate County,6825,1,0,0,0,0
Tattnall County,5347,0,0,0,2,0
Taylor County,33245,1,0,0,2,0
Taylor County,3499,0,0,0,1,0
Tazewell County,31348,0,0,0,2,0
Tehama County,15136,0,3,1,3,0
Terrebonne Parish County,29012,1,2,0,3,0
Thomas County,10835,2,0,0,0,0
Thomas County,1815,0,0,0,1,0
Thurston County,58753,0,0,0,2,2
Tioga County,8413,1,0,0,0,0
Tippecanoe County,38079,0,0,0,2,0
Tishomingo County,4272,0,0,0,2,0
Todd County,3405,0,0,0,1,0
Todd County,3992,0,0,2,0,0
Tolland County,28003,0,0,0,1,0
Tom Green County,27519,0,3,0,2,0
Tompkins County,16122,0,0,0,1,0
Tooele County,21251,0,0,0,0,1
Toole County,1025,0,0,0,1,0
Transylvania County,5419,0,0,0,1,0
Travis County,264763,4,9,0,14,1
Trigg County,3069,0,0,0,1,0
Trinity County,2226,0,0,0,1,0
Trinity County,2788,0,0,0,1,0
Troup County,17576,0,0,0,2,0
Trumbull County,43087,1,1,0,2,0
Tulare County,144791,1,9,0,4,0
Tulsa County,161177,5,2,3,21,1
Tuolumne County,9044,0,0,0,0,0
Tuscaloosa County,42667,0,0,0,1,0
Tuscarawas County,21248,1,0,0,0,0
Ulster County,33382,0,0,0,0,0
Union Parish County,5094,0,0,0,1,0
Union County,9614,1,0,0,0,0
Union County,2891,0,0,0,1,0
Union County,1652,0,0,0,1,0
Union County,62510,0,0,0,1,0
Union County,6077,0,0,0,1,0
Unknown County,6077,0,0,0,0,1
Upshur County,9685,0,0,0,1,0
Upshur County,5095,0,0,0,1,0
Utah County,195780,0,0,0,5,0
Val Verde County,14153,0,1,0,0,0
Valencia County,18651,2,2,0,0,0
Van Buren County,3320,0,0,0,1,0
Van Wert County,6689,0,0,0,1,0
Vance County,10752,0,0,0,1,0
Vanderburgh County,40041,2,0,0,6,0
Ventura County,204775,1,3,0,2,0
Vermilion Parish County,15798,1,0,0,0,0
Vermilion County,19135,1,0,0,0,0
Vernon Parish County,13867,1,0,0,0,0
Vernon County,5145,0,0,0,1,0
Victoria County,23499,0,0,0,1,0
Vigo County,22392,0,0,0,5,0
Virginia Beach County,102823,4,1,1,2,0
Volusia County,91356,2,4,0,16,0
Wabash County,6966,0,0,0,2,0
Wadena County,3302,0,0,0,2,0
Wagoner County,19001,0,0,0,2,0
Wake County,249673,5,0,0,5,0
Walker County,14469,0,0,0,1,0
Walker County,15485,0,1,0,3,0
Walker County,10887,0,0,0,0,0
Walla Walla County,12986,0,0,0,0,0
Waller County,11237,1,0,0,1,0
Walton County,22692,3,0,0,1,0
Walworth County,22672,1,0,0,1,0
Ward County,3255,1,0,0,0,0
Warren County,27104,0,0,0,2,0
Warren County,22666,0,0,0,2,0
Warren County,9433,0,0,0,1,0
Warrick County,15043,0,0,0,1,0
Wasco County,5741,0,0,0,0,0
Washington Parish County,11155,0,0,0,0,0
Washington County,3788,0,0,0,2,0
Washington County,55860,1,0,0,6,0
Washington County,5473,0,0,0,1,0
Washington County,6579,0,0,0,1,0
Washington County,62819,0,0,0,2,0
Washington County,5793,0,0,0,0,0
Washington County,12974,1,0,0,2,0
Washington County,4821,0,0,0,1,0
Washington County,12304,0,0,0,1,0
Washington County,12309,0,0,1,1,0
Washington County,136809,1,0,0,13,0
Washington County,41013,1,0,0,0,0
Washington County,24996,0,0,0,6,0
Washington County,10453,0,1,0,1,0
Washington County,11446,0,0,0,3,0
Washington County,30648,0,0,0,2,0
Washita County,2979,0,0,0,2,0
Washoe County,98577,2,11,1,4,0
Watauga County,6938,0,0,0,1,0
Watonwan County,2738,0,1,0,0,0
Waukesha County,88506,0,0,0,4,0
Waupaca County,11038,0,0,0,1,0
Waushara County,4521,0,0,0,1,0
Wayne County,7308,0,0,0,1,0
Wayne County,4404,0,0,0,1,0
Wayne County,425318,14,1,0,6,0
Wayne County,20343,0,0,0,1,0
Wayne County,28422,0,0,0,1,0
Wayne County,9047,0,0,0,0,0
Wayne County,8718,0,0,0,1,0
Waynesboro County,5085,1,0,0,0,0
Webb County,90669,0,5,0,1,0
Weber County,70219,0,6,0,6,0
Webster County,7908,0,0,0,3,0
Weld County,74693,1,6,0,4,0
West Baton Rouge Parish County,6045,1,0,0,0,0
Westchester County,222733,4,0,0,0,0
Westmoreland County,67552,1,0,0,3,0
Whatcom County,42087,0,1,0,1,0
Wheeler County,1351,0,0,0,1,0
White County,18705,0,0,0,2,0
White County,5722,1,0,0,0,0
White County,5786,0,0,0,1,0
Whiteside County,12740,1,0,0,0,0
Whitfield County,27956,0,0,0,1,0
Whitley County,8485,0,0,0,1,0
Wichita County,30177,1,1,0,0,0
Wicomico County,22237,1,0,0,1,0
Wilbarger County,3062,0,0,0,0,0
Wilkes County,14594,0,0,0,3,0
Will County,183007,1,0,0,1,0
Williams County,8614,0,0,0,1,0
Williamsburg County,7095,1,0,0,0,0
Williamson County,14675,0,0,0,2,0
Williamson County,57669,0,0,0,3,0
Williamson County,132587,0,0,0,2,0
Wilson County,19292,1,0,0,0,0
Wilson County,11508,0,0,0,1,0
Winchester County,6197,0,0,0,2,0
Winkler County,2378,0,1,0,0,0
Winn Parish County,3214,0,0,0,2,0
Winnebago County,68673,2,0,0,1,0
Winnebago County,35258,1,0,0,5,0
Wise County,7987,0,0,0,1,0
Wolfe County,1710,0,0,0,1,0
Wood County,26825,0,0,0,1,0
Wood County,8442,0,0,0,1,0
Wood County,16120,0,0,0,1,0
Wood County,18196,0,0,0,1,0
Woodbury County,26590,0,0,0,1,0
Worcester County,178965,0,1,0,4,0
Worth County,4753,1,0,0,1,0
Wright County,4591,0,0,0,1,0
Wyandotte County,45743,2,2,0,2,0
Wythe County,5853,1,0,0,0,0
Yadkin County,8276,0,0,0,1,0
Yakima County,73811,0,3,0,0,0
Yalobusha County,2787,0,0,0,2,0
Yamhill County,23710,1,0,0,1,0
Yancey County,3400,0,0,0,1,0
Yavapai County,38079,0,0,0,7,0
Yellowstone County,36730,0,0,3,9,0
Yolo County,45047,1,0,0,1,0
York County,39941,0,1,0,1,0
York County,3145,0,0,0,1,0
York County,98729,2,0,0,2,0
York County,60600,0,0,0,1,0
York County,15988,1,0,0,0,0
Yuba County,20563,2,0,0,2,0
Yuma County,53251,0,2,0,1,0
